,Run,Body_Site
9834,SRR614802,Brain - Frontal Cortex (BA9)
9886,SRR627421,Brain - Cortex
9888,SRR627425,Brain - Cortex
9896,SRR627449,Brain - Cortex
9923,SRR613627,Brain - Frontal Cortex (BA9)
9955,SRR614310,Brain - Cortex
10096,SRR615838,Brain - Cortex
10105,SRR603333,Brain - Cortex
10122,SRR604026,Brain - Cortex
10131,SRR604262,Brain - Frontal Cortex (BA9)
10138,SRR604456,Brain - Frontal Cortex (BA9)
10194,SRR612563,Brain - Frontal Cortex (BA9)
10195,SRR612575,Brain - Cortex
10205,SRR601500,Brain - Frontal Cortex (BA9)
10211,SRR601669,Brain - Cortex
10232,SRR602314,Brain - Frontal Cortex (BA9)
10238,SRR602516,Brain - Frontal Cortex (BA9)
10244,SRR602704,Brain - Frontal Cortex (BA9)
10251,SRR602927,Brain - Cortex
10300,SRR595926,Brain - Frontal Cortex (BA9)
10317,SRR598332,Brain - Cortex
10334,SRR598792,Pancreas
10350,SRR599510,Brain - Frontal Cortex (BA9)
10352,SRR600361,Brain - Frontal Cortex (BA9)
10376,SRR601006,Brain - Cortex
